paper,study,outcome,outcome_expectation,time_1,effect,label,effect_size_value,effect_size_lower,effect_size_upper,effect_size_var,condition_1,condition_2,time_2,max_time,cluster,group_1,group_2,yi,yi_lower,yi_upper
11,1,1,decrease,2,4,Cooney (2014) - 4,0.283646216307645,-0.0790717447413619,0.646364177356652,0.0342485304173523,1,5,2,2,11 - 1,1 - 2,5 - 2,0.283646216307645,-0.0790717447413619,0.646364177356652
11,1,1,decrease,2,5,Cooney (2014) - 5,0.160589745943614,-0.221415010659593,0.542594502546821,0.0379875565192464,1,6,2,2,11 - 1,1 - 2,6 - 2,0.160589745943614,-0.221415010659593,0.542594502546821
11,1,1,decrease,2,6,Cooney (2014) - 6,0.437055637513038,0.0819374526742405,0.792173822351836,0.0328283943911744,1,7,2,2,11 - 1,1 - 2,7 - 2,0.437055637513038,0.0819374526742405,0.792173822351836
11,1,1,decrease,2,7,Cooney (2014) - 7,0.255644031515562,-0.107569121163262,0.618857184194386,0.0343421081512603,1,8,2,2,11 - 1,1 - 2,8 - 2,0.255644031515562,-0.107569121163262,0.618857184194386
11,1,2,decrease,2,8,Cooney (2014) - 8,0.201523515861959,-0.162839035038699,0.565886066762617,0.0345598051926653,1,2,2,2,11 - 1,1 - 2,2 - 2,0.201523515861959,-0.162839035038699,0.565886066762617
11,1,2,decrease,2,9,Cooney (2014) - 9,0.428575620069726,0.041559020025418,0.815592220114033,0.0389908770863229,1,3,2,2,11 - 1,1 - 2,3 - 2,0.428575620069726,0.041559020025418,0.815592220114033
11,1,2,decrease,2,10,Cooney (2014) - 10,0.0538500253198006,-0.352724729016804,0.460424779656405,0.043031316637672803,1,4,2,2,11 - 1,1 - 2,4 - 2,0.0538500253198006,-0.352724729016804,0.460424779656405
11,1,2,decrease,2,11,Cooney (2014) - 11,0.24752902433436,-0.114791885318846,0.609849933987566,0.0341735907371268,1,5,2,2,11 - 1,1 - 2,5 - 2,0.24752902433436,-0.114791885318846,0.609849933987566
11,1,2,decrease,2,12,Cooney (2014) - 12,0.115346986513626,-0.266367055014294,0.497061028041546,0.037929759578485,1,6,2,2,11 - 1,1 - 2,6 - 2,0.115346986513626,-0.266367055014294,0.497061028041546
11,1,2,decrease,2,13,Cooney (2014) - 13,0.359416610124548,0.00547806012241675,0.713355160126679,0.0326106573114261,1,7,2,2,11 - 1,1 - 2,7 - 2,0.359416610124548,0.00547806012241675,0.713355160126679
11,1,2,decrease,2,14,Cooney (2014) - 14,0.346114695389796,-0.0182301408987934,0.710459531678385,0.0345564448107691,1,8,2,2,11 - 1,1 - 2,8 - 2,0.346114695389796,-0.0182301408987934,0.710459531678385
11,1,3,decrease,2,15,Cooney (2014) - 15,0.105577744497749,-0.258162977896542,0.46931846689204,0.034441944923416797,1,2,2,2,11 - 1,1 - 2,2 - 2,0.105577744497749,-0.258162977896542,0.46931846689204
