paper,study,outcome,outcome_expectation,time_1,effect,label,effect_size_value,effect_size_lower,effect_size_upper,effect_size_var,condition_1,condition_2,time_2,max_time,cluster,group_1,group_2,yi,yi_lower,yi_upper
13,1,4,increase,1,8,da Silva (2016) - 8,0.169857916203197,-0.17143481913396,0.511150651540355,0.0303220043818853,1,3,1,1,13 - 1,1 - 1,3 - 1,-0.169857916203197,-0.511150651540355,0.17143481913396
13,1,5,increase,1,9,da Silva (2016) - 9,0.443511022510433,0.0951472815528283,0.791874763468038,0.0315914608690374,1,2,1,1,13 - 1,1 - 1,2 - 1,-0.443511022510433,-0.791874763468038,-0.0951472815528283
13,1,5,increase,1,10,da Silva (2016) - 10,0.175383384849975,-0.165949707934874,0.516716477634824,0.0303291758855866,1,3,1,1,13 - 1,1 - 1,3 - 1,-0.175383384849975,-0.516716477634824,0.165949707934874
14,1,1,decrease,2,1,Doebel et al. (2015) - 1,-0.254189348989396,-0.568131921933047,0.0597532239542541,0.0256569037198921,1,2,2,2,14 - 1,1 - 2,2 - 2,-0.254189348989396,-0.568131921933047,0.0597532239542541
14,1,1,decrease,2,2,Doebel et al. (2015) - 2,-0.359974978932068,-0.672364352879012,-0.0475856049851236,0.0254036618664912,1,3,2,2,14 - 1,1 - 2,3 - 2,-0.359974978932068,-0.672364352879012,-0.0475856049851236
14,1,1,decrease,2,3,Doebel et al. (2015) - 3,-0.16560106111232,-0.471843760457278,0.140641638232639,0.0244137957165815,1,4,2,2,14 - 1,1 - 2,4 - 2,-0.16560106111232,-0.471843760457278,0.140641638232639
14,1,1,decrease,2,4,Doebel et al. (2015) - 4,-0.0769708157621766,-0.389167743299364,0.23522611177501,0.025372371828796,1,5,2,2,14 - 1,1 - 2,5 - 2,-0.0769708157621766,-0.389167743299364,0.23522611177501
14,1,2,decrease,2,5,Doebel et al. (2015) - 5,-0.206504551351406,-0.520472269450686,0.107463166747875,0.0256610138516746,1,2,2,2,14 - 1,1 - 2,2 - 2,-0.206504551351406,-0.520472269450686,0.107463166747875
14,1,2,decrease,2,6,Doebel et al. (2015) - 6,-0.299311967984781,-0.611053550347902,0.0124296143783399,0.0252984136262854,1,3,2,2,14 - 1,1 - 2,3 - 2,-0.299311967984781,-0.611053550347902,0.0124296143783399
14,1,2,decrease,2,7,Doebel et al. (2015) - 7,-0.216747465945403,-0.523290635770059,0.0897957038792536,0.0244617264826409,1,4,2,2,14 - 1,1 - 2,4 - 2,-0.216747465945403,-0.523290635770059,0.0897957038792536
14,1,2,decrease,2,8,Doebel et al. (2015) - 8,-0.0996892229195933,-0.411952878075689,0.212574432236502,0.0253832189495723,1,5,2,2,14 - 1,1 - 2,5 - 2,-0.0996892229195933,-0.411952878075689,0.212574432236502
14,1,3,decrease,2,9,Doebel et al. (2015) - 9,0.0848210518913425,-0.228160250960159,0.397802354742843,0.0255000249923082,1,2,2,2,14 - 1,1 - 2,2 - 2,0.0848210518913425,-0.228160250960159,0.397802354742843
14,1,3,decrease,2,10,Doebel et al. (2015) - 10,-0.106165321841513,-0.416634489199918,0.204303845516892,0.0250923173667664,1,3,2,2,14 - 1,1 - 2,3 - 2,-0.106165321841513,-0.416634489199918,0.204303845516892
14,1,3,decrease,2,11,Doebel et al. (2015) - 11,0.102525534617614,-0.203750211935861,0.408801281171089,0.0244190650753712,1,4,2,2,14 - 1,1 - 2,4 - 2,0.102525534617614,-0.203750211935861,0.408801281171089
14,1,3,decrease,2,12,Doebel et al. (2015) - 12,0.0614188183715857,-0.250742320091149,0.37357995683432,0.0253665549768259,1,5,2,2,14 - 1,1 - 2,5 - 2,0.0614188183715857,-0.250742320091149,0.37357995683432
